pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50.0,x,0,0,0,0,,,,,7.77666466699975,8.827647125000112,8.827647125000112,8.827647125000112,8.827647125000112,8.836839999999938,9.769222541999625,9.769222541999625,x,1,2.185974790999353,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,0,1,1,1,,,,,12.013138209000317,12.986369584000386,12.986369584000386,12.986369584000386,12.986369584000386,13.019316375000017,13.986271374999887,13.986271374999887,v,1,1.0478461239990793,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,0,2,2,2,,,,,15.053014959000393,16.052831209000033,16.052831209000033,16.052831209000033,16.052831209000033,16.052831209000033,17.052713541999765,17.052713541999765,c,1,0.9157470410000315,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,0,3,3,3,,,,,17.986407792000136,18.98679658400033,18.98679658400033,18.98679658400033,18.98679658400033,18.98679658400033,19.986436750000394,19.986436750000394,z,1,0.732359498999358,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,1,0,4,0,,,,,20.736815875000502,21.736000459000024,21.736000459000024,21.736000459000024,21.736000459000024,21.736000459000024,22.737126042000455,22.737126042000455,c,0,0.6873382080002557,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,1,1,5,1,,,,,23.45276691700019,24.45279174999996,24.45279174999996,24.45279174999996,24.45279174999996,24.45279174999996,25.453412750000098,25.453412750000098,v,1,0.516808833000141,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,1,2,6,2,,,,,25.98699766699974,26.987024666999787,26.987024666999787,26.987024666999787,26.987024666999787,26.987024666999787,27.98610079199989,27.98610079199989,c,1,0.7053603329995894,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,1,3,7,3,,,,,28.71973466700001,29.72003070899973,29.72003070899973,29.72003070899973,29.72003070899973,29.72003070899973,30.72049504200004,30.72049504200004,z,1,0.6237066240000786,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-50.0,x,2,0,8,0,,,,,31.370524709000165,32.353600749999714,32.353600749999714,32.353600749999714,32.353600749999714,32.37013300000035,33.35348154199983,33.35348154199983,c,0,0.6190297069997541,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
150.0,v,2,1,9,1,,,,,34.00380116700035,35.0039795419998,35.0039795419998,35.0039795419998,35.0039795419998,35.0039795419998,36.00553899999977,36.00553899999977,v,1,0.6256787909997001,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
50.0,c,2,2,10,2,,,,,36.65397312500045,37.63776820899966,37.63776820899966,37.63776820899966,37.63776820899966,37.6542276250002,38.65440370899978,38.65440370899978,c,1,0.9142454989996622,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
-150.0,z,2,3,11,3,,,,,39.587204583999664,40.58691437499965,40.58691437499965,40.58691437499965,40.58691437499965,40.58691437499965,41.58679379200021,41.58679379200021,z,1,0.796869499999957,203534,001,2022-09-30_11h59.33.809,lab tut 4,2022.2.4,60.131613067922224,
